L1FmNodeId,L1FmOsfpCageNum,L1FmOsfpPortNum,L2FmNodeId,L2FmOsfpCageNum,L2FmOsfpPortNum
8193,001,1,16385,001,1
8193,001,2,16385,001,2
8193,002,1,16385,002,1
8193,002,2,16385,002,2
8193,003,1,16385,003,1
8193,003,2,16385,003,2
8193,004,1,16385,004,1
8193,004,2,16385,004,2
8193,005,1,16385,005,1
8193,005,2,16385,005,2
8193,006,1,16385,006,1
8193,006,2,16385,006,2
8193,007,1,16385,007,1
8193,007,2,16385,007,2
8193,008,1,16385,008,1
8193,008,2,16385,008,2
8196,001,1,16385,009,1
8196,001,2,16385,009,2
8196,002,1,16385,010,1
8196,002,2,16385,010,2
8196,003,1,16385,011,1
8196,003,2,16385,011,2
8196,004,1,16385,012,1
8196,004,2,16385,012,2
8196,005,1,16385,013,1
8196,005,2,16385,013,2
8196,006,1,16385,014,1
8196,006,2,16385,014,2
8196,007,1,16385,015,1
8196,007,2,16385,015,2
8196,008,1,16385,016,1
8196,008,2,16385,016,2
8193,009,1,16385,017,1
8193,009,2,16385,017,2
8193,010,1,16385,018,1
8193,010,2,16385,018,2
8193,011,1,16385,019,1
8193,011,2,16385,019,2
8193,012,1,16385,020,1
8193,012,2,16385,020,2
8193,013,1,16385,021,1
8193,013,2,16385,021,2
8193,014,1,16385,022,1
8193,014,2,16385,022,2
8193,015,1,16385,023,1
8193,015,2,16385,023,2
8193,016,1,16385,024,1
8193,016,2,16385,024,2
8196,009,1,16385,025,1
8196,009,2,16385,025,2
8196,010,1,16385,026,1
8196,010,2,16385,026,2
8196,011,1,16385,027,1
8196,011,2,16385,027,2
8196,012,1,16385,028,1
8196,012,2,16385,028,2
8196,013,1,16385,029,1
8196,013,2,16385,029,2
8196,014,1,16385,030,1
8196,014,2,16385,030,2
8196,015,1,16385,031,1
8196,015,2,16385,031,2
8196,016,1,16385,032,1
8196,016,2,16385,032,2
8194,001,1,16386,001,1
8194,001,2,16386,001,2
8194,002,1,16386,002,1
8194,002,2,16386,002,2
8194,003,1,16386,003,1
8194,003,2,16386,003,2
8194,004,1,16386,004,1
8194,004,2,16386,004,2
8194,005,1,16386,005,1
8194,005,2,16386,005,2
8194,006,1,16386,006,1
8194,006,2,16386,006,2
8194,007,1,16386,007,1
8194,007,2,16386,007,2
8194,008,1,16386,008,1
8194,008,2,16386,008,2
8197,001,1,16386,009,1
8197,001,2,16386,009,2
8197,002,1,16386,010,1
8197,002,2,16386,010,2
8197,003,1,16386,011,1
8197,003,2,16386,011,2
8197,004,1,16386,012,1
8197,004,2,16386,012,2
8197,005,1,16386,013,1
8197,005,2,16386,013,2
8197,006,1,16386,014,1
8197,006,2,16386,014,2
8197,007,1,16386,015,1
8197,007,2,16386,015,2
8197,008,1,16386,016,1
8197,008,2,16386,016,2
8194,009,1,16386,017,1
8194,009,2,16386,017,2
8194,010,1,16386,018,1
8194,010,2,16386,018,2
8194,011,1,16386,019,1
8194,011,2,16386,019,2
8194,012,1,16386,020,1
8194,012,2,16386,020,2
8194,013,1,16386,021,1
8194,013,2,16386,021,2
8194,014,1,16386,022,1
8194,014,2,16386,022,2
8194,015,1,16386,023,1
8194,015,2,16386,023,2
8194,016,1,16386,024,1
8194,016,2,16386,024,2
8197,009,1,16386,025,1
8197,009,2,16386,025,2
8197,010,1,16386,026,1
8197,010,2,16386,026,2
8197,011,1,16386,027,1
8197,011,2,16386,027,2
8197,012,1,16386,028,1
8197,012,2,16386,028,2
8197,013,1,16386,029,1
8197,013,2,16386,029,2
8197,014,1,16386,030,1
8197,014,2,16386,030,2
8197,015,1,16386,031,1
8197,015,2,16386,031,2
8197,016,1,16386,032,1
8197,016,2,16386,032,2
8195,001,1,16387,001,1
8195,001,2,16387,001,2
8195,002,1,16387,002,1
8195,002,2,16387,002,2
8195,003,1,16387,003,1
8195,003,2,16387,003,2
8195,004,1,16387,004,1
8195,004,2,16387,004,2
8195,005,1,16387,005,1
8195,005,2,16387,005,2
8195,006,1,16387,006,1
8195,006,2,16387,006,2
8195,007,1,16387,007,1
8195,007,2,16387,007,2
8195,008,1,16387,008,1
8195,008,2,16387,008,2
8198,001,1,16387,009,1
8198,001,2,16387,009,2
8198,002,1,16387,010,1
8198,002,2,16387,010,2
8198,003,1,16387,011,1
8198,003,2,16387,011,2
8198,004,1,16387,012,1
8198,004,2,16387,012,2
8198,005,1,16387,013,1
8198,005,2,16387,013,2
8198,006,1,16387,014,1
8198,006,2,16387,014,2
8198,007,1,16387,015,1
8198,007,2,16387,015,2
8198,008,1,16387,016,1
8198,008,2,16387,016,2
8195,009,1,16387,017,1
8195,009,2,16387,017,2
8195,010,1,16387,018,1
8195,010,2,16387,018,2
8195,011,1,16387,019,1
8195,011,2,16387,019,2
8195,012,1,16387,020,1
8195,012,2,16387,020,2
8195,013,1,16387,021,1
8195,013,2,16387,021,2
8195,014,1,16387,022,1
8195,014,2,16387,022,2
8195,015,1,16387,023,1
8195,015,2,16387,023,2
8195,016,1,16387,024,1
8195,016,2,16387,024,2
8198,009,1,16387,025,1
8198,009,2,16387,025,2
8198,010,1,16387,026,1
8198,010,2,16387,026,2
8198,011,1,16387,027,1
8198,011,2,16387,027,2
8198,012,1,16387,028,1
8198,012,2,16387,028,2
8198,013,1,16387,029,1
8198,013,2,16387,029,2
8198,014,1,16387,030,1
8198,014,2,16387,030,2
8198,015,1,16387,031,1
8198,015,2,16387,031,2
8198,016,1,16387,032,1
8198,016,2,16387,032,2
