L1FmNodeDesc,L1FmOsfpCageNum,L1FmOsfpPortNum,L2FmNodeDesc,L2FmOsfpCageNum,L2FmOsfpPortNum
R1:G1,001,1,K1,001,1
R1:G1,001,2,K1,001,2
R1:G1,002,1,K1,002,1
R1:G1,002,2,K1,002,2
R1:G1,003,1,K1,003,1
R1:G1,003,2,K1,003,2
R1:G1,004,1,K1,004,1
R1:G1,004,2,K1,004,2
R2:G1,001,1,K1,005,1
R2:G1,001,2,K1,005,2
R2:G1,002,1,K1,006,1
R2:G1,002,2,K1,006,2
R2:G1,003,1,K1,007,1
R2:G1,003,2,K1,007,2
R2:G1,004,1,K1,008,1
R2:G1,004,2,K1,008,2
R3:G1,001,1,K1,009,1
R3:G1,001,2,K1,009,2
R3:G1,002,1,K1,010,1
R3:G1,002,2,K1,010,2
R3:G1,003,1,K1,011,1
R3:G1,003,2,K1,011,2
R3:G1,004,1,K1,012,1
R3:G1,004,2,K1,012,2
R4:G1,001,1,K1,013,1
R4:G1,001,2,K1,013,2
R4:G1,002,1,K1,014,1
R4:G1,002,2,K1,014,2
R4:G1,003,1,K1,015,1
R4:G1,003,2,K1,015,2
R4:G1,004,1,K1,016,1
R4:G1,004,2,K1,016,2
R1:G1,009,1,K1,017,1
R1:G1,009,2,K1,017,2
R1:G1,010,1,K1,018,1
R1:G1,010,2,K1,018,2
R1:G1,011,1,K1,019,1
R1:G1,011,2,K1,019,2
R1:G1,012,1,K1,020,1
R1:G1,012,2,K1,020,2
R2:G1,009,1,K1,021,1
R2:G1,009,2,K1,021,2
R2:G1,010,1,K1,022,1
R2:G1,010,2,K1,022,2
R2:G1,011,1,K1,023,1
R2:G1,011,2,K1,023,2
R2:G1,012,1,K1,024,1
R2:G1,012,2,K1,024,2
R3:G1,009,1,K1,025,1
R3:G1,009,2,K1,025,2
R3:G1,010,1,K1,026,1
R3:G1,010,2,K1,026,2
R3:G1,011,1,K1,027,1
R3:G1,011,2,K1,027,2
R3:G1,012,1,K1,028,1
R3:G1,012,2,K1,028,2
R4:G1,009,1,K1,029,1
R4:G1,009,2,K1,029,2
R4:G1,010,1,K1,030,1
R4:G1,010,2,K1,030,2
R4:G1,011,1,K1,031,1
R4:G1,011,2,K1,031,2
R4:G1,012,1,K1,032,1
R4:G1,012,2,K1,032,2
R1:G2,001,1,K2,001,1
R1:G2,001,2,K2,001,2
R1:G2,002,1,K2,002,1
R1:G2,002,2,K2,002,2
R1:G2,003,1,K2,003,1
R1:G2,003,2,K2,003,2
R1:G2,004,1,K2,004,1
R1:G2,004,2,K2,004,2
R2:G2,001,1,K2,005,1
R2:G2,001,2,K2,005,2
R2:G2,002,1,K2,006,1
R2:G2,002,2,K2,006,2
R2:G2,003,1,K2,007,1
R2:G2,003,2,K2,007,2
R2:G2,004,1,K2,008,1
R2:G2,004,2,K2,008,2
R3:G2,001,1,K2,009,1
R3:G2,001,2,K2,009,2
R3:G2,002,1,K2,010,1
R3:G2,002,2,K2,010,2
R3:G2,003,1,K2,011,1
R3:G2,003,2,K2,011,2
R3:G2,004,1,K2,012,1
R3:G2,004,2,K2,012,2
R4:G2,001,1,K2,013,1
R4:G2,001,2,K2,013,2
R4:G2,002,1,K2,014,1
R4:G2,002,2,K2,014,2
R4:G2,003,1,K2,015,1
R4:G2,003,2,K2,015,2
